id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,booking_date,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,date,day_of_week,day_type_Weekday,day_type_Weekend,Number of Days Booked,Booking Rate,Booking Rate Category
5.62856e+17,"Luxury Living in Downtown Austin, 2BR",443515330.0,Isabel,78701,30.26518,-97.74458,Entire home/apt,275.0,30.0,0.0,2022-11-13,1.603915943353132,1.0,113.0,0.0,2022-11-13,6,False,True,252.0,69.04109589041096,Medium
5.53648e+17,Spectacular Location! West Campus Apt for 8 + Loft,207859105.0,Christine - Austin Vacay,78705,30.29101,-97.74689,Entire home/apt,105.0,1.0,21.0,2022-12-09,2.27,13.0,326.0,21.0,2022-12-09,4,True,False,39.0,10.684931506849315,Low
5.6583e+17,Lovely 2 bed condo with pool next to downtown!,231516259.0,Neil,78703,30.28923,-97.77083,Entire home/apt,200.0,30.0,0.0,2022-11-13,1.603915943353132,1.0,317.0,0.0,2022-11-13,6,False,True,48.0,13.150684931506849,Low
5.65909e+17,Retro DT Zilker Home Off S. Lamar | Minutes to ACL,12843123.0,James,78704,30.24306,-97.78397,Entire home/apt,900.0,2.0,6.0,2022-10-26,0.97,1.0,359.0,6.0,2022-10-26,2,True,False,6.0,1.643835616438356,Low
5.66112e+17,"Pink House ATX | Heated Pool, Spa, & Firepit",169758891.0,Valerie,78737,30.20895,-98.00262,Entire home/apt,500.0,3.0,15.0,2022-09-25,1.56,22.0,343.0,15.0,2022-09-25,6,False,True,22.0,6.027397260273973,Low
5.53648e+17,Fun Location! Elevator + Full Kitchen + Laundry!,207859105.0,Christine - Austin Vacay,78705,30.29083,-97.74724,Entire home/apt,110.0,1.0,38.0,2022-11-27,3.83,13.0,330.0,38.0,2022-11-27,6,False,True,35.0,9.58904109589041,Low
5.53648e+17,LUXURIOUS NATURE LOVERS RETREAT HOME!,307633237.0,Jerry,78734,30.36828,-97.9994,Entire home/apt,679.0,2.0,10.0,2022-10-24,1.08,1.0,360.0,10.0,2022-10-24,0,True,False,5.0,1.36986301369863,Low
5.66378e+17,Modern Apartment in Prime Location (ID8612X91),263502162.0,Landing,78745,30.19779,-97.77848,Entire home/apt,85.0,30.0,1.0,2022-06-23,0.17,150.0,301.0,1.0,2022-06-23,3,True,False,64.0,17.534246575342465,Low
5.66548e+17,New High Rise 2 Bedroom Condo Rainey District,42214080.0,Mark,78701,30.25731,-97.73818,Private room,224.0,1.0,48.0,2022-12-09,5.05,1.0,349.0,48.0,2022-12-09,4,True,False,16.0,4.383561643835616,Low
5.62865e+17,"Prime Location, Ultra Modern 2 Bed Sleeps 6",4912146.0,Paul,78705,30.29022,-97.75049,Entire home/apt,121.0,2.0,15.0,2022-11-27,1.58,24.0,205.0,15.0,2022-11-27,6,False,True,160.0,43.83561643835616,Medium
